unique_id,ward_id,disease_type,date,new_cases,rainfall_mm,humidity,temperature,citizen_reports,total_beds,occupied_beds,available_beds,icu_beds
Ward_001__Dengue,Ward_001,Dengue,2023-05-08,4,14.36,73.5,26.5,0,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2023-05-15,2,3.24,59.2,24.8,2,178,78,100,17
Ward_001__Dengue,Ward_001,Dengue,2023-05-22,3,24.41,63.3,27.0,5,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2023-05-29,7,20.03,58.8,26.4,1,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2023-06-05,7,46.99,63.6,29.1,6,178,98,80,17
Ward_001__Dengue,Ward_001,Dengue,2023-06-12,9,68.07,78.8,26.5,5,178,93,85,17
Ward_001__Dengue,Ward_001,Dengue,2023-06-19,16,29.62,71.5,30.3,9,178,91,87,17
Ward_001__Dengue,Ward_001,Dengue,2023-06-26,8,88.79,84.4,24.1,6,178,90,88,17
Ward_001__Dengue,Ward_001,Dengue,2023-07-03,8,77.21,82.2,25.4,4,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2023-07-10,8,90.22,73.7,25.5,4,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2023-07-17,21,113.47,83.4,28.1,11,178,92,86,17
Ward_001__Dengue,Ward_001,Dengue,2023-07-24,23,83.33,68.7,24.8,12,178,111,67,17
Ward_001__Dengue,Ward_001,Dengue,2023-07-31,6,70.67,70.4,24.7,4,178,86,92,17
Ward_001__Dengue,Ward_001,Dengue,2023-08-07,17,97.05,66.4,24.7,6,178,91,87,17
Ward_001__Dengue,Ward_001,Dengue,2023-08-14,11,39.09,56.9,30.1,8,178,88,90,17
Ward_001__Dengue,Ward_001,Dengue,2023-08-21,7,72.65,73.3,25.8,3,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2023-08-28,7,80.66,76.3,26.6,2,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2023-09-04,8,75.55,70.8,25.5,7,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2023-09-11,7,96.34,72.2,27.2,3,178,101,77,17
Ward_001__Dengue,Ward_001,Dengue,2023-09-18,13,100.66,89.1,25.9,10,178,95,83,17
Ward_001__Dengue,Ward_001,Dengue,2023-09-25,10,99.16,84.2,22.6,3,178,92,86,17
Ward_001__Dengue,Ward_001,Dengue,2023-10-02,10,4.31,67.3,26.9,9,178,88,90,17
Ward_001__Dengue,Ward_001,Dengue,2023-10-09,8,27.8,74.4,25.2,3,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2023-10-16,8,22.78,73.1,25.9,3,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2023-10-23,3,23.39,80.6,26.4,3,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2023-10-30,4,0.0,51.6,24.8,2,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2023-11-06,4,11.69,59.2,25.0,3,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2023-11-13,6,20.4,63.0,24.1,3,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2023-11-20,7,8.78,58.4,24.7,4,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2023-11-27,8,25.18,70.5,25.2,3,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2023-12-04,5,15.27,69.2,16.7,9,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2023-12-11,10,0.0,61.2,19.6,4,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2023-12-18,8,9.43,62.7,19.0,5,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2023-12-25,4,17.53,63.5,23.7,1,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-01-01,8,12.71,66.1,18.3,2,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2024-01-08,6,14.24,64.0,21.9,5,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2024-01-15,5,17.65,57.2,18.3,0,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2024-01-22,11,4.24,64.2,23.0,2,178,84,94,17
Ward_001__Dengue,Ward_001,Dengue,2024-01-29,5,13.02,58.9,20.3,0,178,84,94,17
Ward_001__Dengue,Ward_001,Dengue,2024-02-05,8,7.29,68.2,23.6,7,178,84,94,17
Ward_001__Dengue,Ward_001,Dengue,2024-02-12,3,0.57,73.1,19.7,2,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2024-02-19,4,0.0,62.3,22.5,1,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-02-26,5,6.84,65.5,21.4,2,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-03-04,6,6.15,63.8,28.4,5,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-03-11,2,0.0,59.1,22.5,0,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2024-03-18,1,12.15,57.6,24.3,0,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2024-03-25,9,14.6,63.1,28.1,4,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2024-04-01,2,5.55,66.3,25.8,1,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2024-04-08,3,24.25,60.9,24.8,1,178,76,102,17
Ward_001__Dengue,Ward_001,Dengue,2024-04-15,7,9.18,67.8,25.5,3,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-04-22,5,22.46,56.0,28.8,1,178,78,100,17
Ward_001__Dengue,Ward_001,Dengue,2024-04-29,6,16.54,60.6,27.8,7,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-05-06,5,21.84,66.1,25.4,1,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2024-05-13,3,10.61,64.7,25.5,2,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-05-20,6,0.0,62.2,24.0,9,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-05-27,4,6.74,61.3,25.2,2,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2024-06-03,8,73.6,77.9,24.0,10,178,84,94,17
Ward_001__Dengue,Ward_001,Dengue,2024-06-10,8,119.84,92.6,28.2,4,178,91,87,17
Ward_001__Dengue,Ward_001,Dengue,2024-06-17,14,43.39,62.0,25.3,10,178,100,78,17
Ward_001__Dengue,Ward_001,Dengue,2024-06-24,11,111.5,88.9,26.9,4,178,94,84,17
Ward_001__Dengue,Ward_001,Dengue,2024-07-01,13,112.02,91.5,27.8,6,178,90,88,17
Ward_001__Dengue,Ward_001,Dengue,2024-07-08,8,75.51,80.1,25.0,3,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2024-07-15,8,107.29,87.5,25.8,3,178,100,78,17
Ward_001__Dengue,Ward_001,Dengue,2024-07-22,10,65.33,73.8,26.9,3,178,94,84,17
Ward_001__Dengue,Ward_001,Dengue,2024-07-29,13,102.51,83.6,23.9,8,178,86,92,17
Ward_001__Dengue,Ward_001,Dengue,2024-08-05,10,80.04,77.6,26.8,8,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2024-08-12,9,45.39,77.1,24.3,4,178,100,78,17
Ward_001__Dengue,Ward_001,Dengue,2024-08-19,8,43.42,75.9,22.4,4,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2024-08-26,9,78.04,75.4,24.1,4,178,90,88,17
Ward_001__Dengue,Ward_001,Dengue,2024-09-02,12,79.33,82.9,25.8,6,178,89,89,17
Ward_001__Dengue,Ward_001,Dengue,2024-09-09,7,69.84,68.0,26.6,4,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2024-09-16,7,68.1,82.0,24.9,3,178,110,68,17
Ward_001__Dengue,Ward_001,Dengue,2024-09-23,13,64.35,69.1,26.1,6,178,90,88,17
Ward_001__Dengue,Ward_001,Dengue,2024-09-30,12,118.05,90.2,23.6,5,178,84,94,17
Ward_001__Dengue,Ward_001,Dengue,2024-10-07,11,3.17,61.1,27.4,7,178,86,92,17
Ward_001__Dengue,Ward_001,Dengue,2024-10-14,9,0.0,54.8,28.6,3,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2024-10-21,4,14.33,53.9,24.7,2,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-10-28,2,4.18,58.0,25.2,1,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2024-11-04,6,11.3,64.4,28.4,2,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2024-11-11,2,18.13,60.7,20.8,0,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-11-18,4,0.0,59.9,27.2,1,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2024-11-25,9,15.03,51.5,25.1,4,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2024-12-02,3,17.43,70.0,24.1,2,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2024-12-09,5,9.62,57.9,23.6,1,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2024-12-16,5,8.14,64.7,23.6,1,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-12-23,5,30.64,69.9,22.2,4,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2024-12-30,12,6.85,62.9,22.6,5,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2025-01-06,11,19.39,64.0,18.0,2,178,87,91,17
Ward_001__Dengue,Ward_001,Dengue,2025-01-13,7,4.08,57.9,22.2,1,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2025-01-20,6,6.96,60.8,21.8,5,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2025-01-27,5,16.47,64.2,19.3,4,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2025-02-03,7,3.44,59.8,20.1,1,178,87,91,17
Ward_001__Dengue,Ward_001,Dengue,2025-02-10,7,25.26,59.9,24.7,2,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2025-02-17,8,9.63,52.4,21.3,1,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2025-02-24,7,18.64,72.0,20.1,1,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2025-03-03,5,0.0,58.9,26.7,0,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2025-03-10,6,5.16,52.2,23.9,4,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2025-03-17,4,3.95,54.1,30.8,1,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2025-03-24,5,17.35,58.4,26.1,2,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2025-03-31,5,16.46,72.1,23.9,2,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2025-04-07,8,1.37,60.9,29.2,3,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2025-04-14,7,2.19,65.6,27.0,5,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2025-04-21,5,21.14,68.4,25.1,3,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2025-04-28,9,5.13,62.0,26.5,1,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2025-05-05,9,25.46,61.1,27.2,5,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2025-05-12,8,3.42,57.4,21.9,3,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2025-05-19,6,10.97,65.1,25.1,7,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2025-05-26,6,15.43,58.3,26.3,1,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2025-06-02,9,89.25,81.4,25.1,3,178,87,91,17
Ward_001__Dengue,Ward_001,Dengue,2025-06-09,9,31.39,58.2,27.6,2,178,93,85,17
Ward_001__Dengue,Ward_001,Dengue,2025-06-16,25,87.56,72.9,26.5,11,178,100,78,17
Ward_001__Dengue,Ward_001,Dengue,2025-06-23,16,114.45,89.9,28.2,9,178,100,78,17
Ward_001__Dengue,Ward_001,Dengue,2025-06-30,7,64.16,75.1,23.5,0,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2025-07-07,11,104.22,83.2,31.5,7,178,89,89,17
Ward_001__Dengue,Ward_001,Dengue,2025-07-14,34,68.66,81.8,27.8,10,178,104,74,17
Ward_001__Dengue,Ward_001,Dengue,2025-07-21,9,103.56,72.3,24.2,9,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2025-07-28,14,98.98,76.9,27.2,7,178,89,89,17
Ward_001__Dengue,Ward_001,Dengue,2025-08-04,6,45.99,76.7,26.9,0,178,92,86,17
Ward_001__Dengue,Ward_001,Dengue,2025-08-11,8,72.81,77.4,21.2,4,178,87,91,17
Ward_001__Dengue,Ward_001,Dengue,2025-08-18,10,111.11,89.8,30.1,3,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2025-08-25,16,50.74,61.1,25.3,12,178,90,88,17
Ward_001__Dengue,Ward_001,Dengue,2025-09-01,5,134.47,90.1,27.0,4,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2025-09-08,16,127.26,72.8,25.4,6,178,89,89,17
Ward_001__Dengue,Ward_001,Dengue,2025-09-15,27,88.68,83.2,26.2,15,178,99,79,17
Ward_001__Dengue,Ward_001,Dengue,2025-09-22,17,83.74,77.8,25.3,3,178,104,74,17
Ward_001__Dengue,Ward_001,Dengue,2025-09-29,15,48.19,73.3,24.3,1,178,93,85,17
Ward_001__Dengue,Ward_001,Dengue,2025-10-06,6,12.48,63.4,26.3,4,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2025-10-13,6,17.09,62.7,22.8,1,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2025-10-20,2,8.77,62.6,28.4,1,178,78,100,17
Ward_001__Dengue,Ward_001,Dengue,2025-10-27,7,10.54,61.4,28.2,4,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2023-01-02,1,18.51,60.4,17.9,1,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2023-01-09,2,18.13,58.8,25.9,2,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2023-01-16,5,19.51,68.2,21.3,0,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2023-01-23,1,16.46,65.6,22.8,1,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2023-01-30,4,2.77,62.5,21.3,3,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2023-02-06,6,8.14,60.2,21.7,2,178,79,99,17
Ward_001__Malaria,Ward_001,Malaria,2023-02-13,2,14.56,64.8,19.8,1,178,76,102,17
Ward_001__Malaria,Ward_001,Malaria,2023-02-20,2,20.6,65.3,24.0,4,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2023-02-27,2,9.1,60.5,21.9,1,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2023-03-06,3,0.0,57.8,25.3,1,178,79,99,17
Ward_001__Malaria,Ward_001,Malaria,2023-03-13,4,0.0,66.2,24.4,5,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2023-03-20,2,0.0,61.6,26.3,3,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2023-03-27,6,29.18,70.0,30.0,4,178,85,93,17
Ward_001__Malaria,Ward_001,Malaria,2023-04-03,2,21.57,63.6,26.8,3,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2023-04-10,7,0.0,56.5,28.5,5,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2023-04-17,2,11.01,70.3,23.8,2,178,79,99,17
Ward_001__Malaria,Ward_001,Malaria,2023-04-24,7,0.81,56.1,28.6,7,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2023-05-01,2,11.96,69.2,26.5,2,178,78,100,17
Ward_001__Malaria,Ward_001,Malaria,2023-05-08,2,0.0,77.5,23.1,0,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2023-05-15,8,5.96,65.1,23.1,5,178,78,100,17
Ward_001__Malaria,Ward_001,Malaria,2023-05-22,3,0.0,62.5,29.4,3,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2023-05-29,2,17.99,64.2,28.0,1,178,79,99,17
Ward_001__Malaria,Ward_001,Malaria,2023-06-05,3,52.4,73.9,25.3,2,178,98,80,17
Ward_001__Malaria,Ward_001,Malaria,2023-06-12,5,88.13,74.6,25.9,2,178,93,85,17
Ward_001__Malaria,Ward_001,Malaria,2023-06-19,7,104.06,86.3,24.2,3,178,91,87,17
Ward_001__Malaria,Ward_001,Malaria,2023-06-26,4,94.19,77.1,23.9,2,178,90,88,17
Ward_001__Malaria,Ward_001,Malaria,2023-07-03,6,86.07,78.1,23.9,2,178,85,93,17
Ward_001__Malaria,Ward_001,Malaria,2023-07-10,7,74.27,73.0,25.1,3,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2023-07-17,7,71.52,76.7,28.5,5,178,92,86,17
Ward_001__Malaria,Ward_001,Malaria,2023-07-24,8,85.83,82.4,29.0,2,178,111,67,17
Ward_001__Malaria,Ward_001,Malaria,2023-07-31,6,47.15,72.8,25.7,1,178,86,92,17
Ward_001__Malaria,Ward_001,Malaria,2023-08-07,7,61.17,69.4,26.7,4,178,91,87,17
Ward_001__Malaria,Ward_001,Malaria,2023-08-14,9,82.09,76.9,23.1,5,178,88,90,17
Ward_001__Malaria,Ward_001,Malaria,2023-08-21,3,64.97,81.4,28.7,3,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2023-08-28,5,88.71,76.7,26.6,4,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2023-09-04,4,57.69,73.1,26.4,3,178,85,93,17
Ward_001__Malaria,Ward_001,Malaria,2023-09-11,2,68.74,75.2,25.5,0,178,101,77,17
Ward_001__Malaria,Ward_001,Malaria,2023-09-18,17,121.12,92.3,28.0,10,178,95,83,17
Ward_001__Malaria,Ward_001,Malaria,2023-09-25,6,91.2,77.1,28.9,3,178,92,86,17
Ward_001__Malaria,Ward_001,Malaria,2023-10-02,7,0.6,60.1,24.6,1,178,88,90,17
Ward_001__Malaria,Ward_001,Malaria,2023-10-09,4,18.02,66.5,27.9,2,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2023-10-16,6,16.59,66.1,25.5,3,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2023-10-23,3,17.58,64.4,26.3,1,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2023-10-30,1,5.42,61.6,29.5,0,178,79,99,17
Ward_001__Malaria,Ward_001,Malaria,2023-11-06,3,0.0,58.9,25.4,1,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2023-11-13,4,28.61,57.8,22.2,3,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2023-11-20,2,7.43,59.8,24.4,1,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2023-11-27,2,3.06,59.1,25.9,1,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2023-12-04,6,5.42,67.3,21.3,3,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2023-12-11,2,17.61,63.3,21.1,2,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2023-12-18,4,6.2,67.2,20.0,1,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2023-12-25,2,5.42,69.9,20.4,0,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-01-01,2,18.88,65.1,24.0,3,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2024-01-08,1,8.97,68.8,22.4,2,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2024-01-15,3,21.54,68.2,21.6,1,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2024-01-22,3,0.0,56.2,19.6,0,178,84,94,17
Ward_001__Malaria,Ward_001,Malaria,2024-01-29,5,10.33,64.6,23.1,2,178,84,94,17
Ward_001__Malaria,Ward_001,Malaria,2024-02-05,5,5.4,53.5,22.2,3,178,84,94,17
Ward_001__Malaria,Ward_001,Malaria,2024-02-12,8,9.8,59.3,21.1,2,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2024-02-19,2,15.23,64.9,21.6,1,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-02-26,3,9.01,63.5,23.9,3,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-03-04,7,18.55,73.8,28.0,5,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-03-11,5,19.43,60.9,26.2,4,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2024-03-18,4,8.12,55.6,26.7,0,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2024-03-25,5,20.84,68.4,27.0,4,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2024-04-01,4,5.52,60.7,25.1,3,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2024-04-08,2,7.82,63.0,26.1,0,178,76,102,17
Ward_001__Malaria,Ward_001,Malaria,2024-04-15,2,14.29,59.5,25.6,0,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-04-22,2,0.0,56.9,28.1,0,178,78,100,17
Ward_001__Malaria,Ward_001,Malaria,2024-04-29,3,15.26,61.2,26.7,1,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-05-06,3,22.23,65.6,23.9,1,178,79,99,17
Ward_001__Malaria,Ward_001,Malaria,2024-05-13,6,0.0,54.1,21.4,5,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-05-20,4,18.1,69.9,25.9,1,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-05-27,3,5.82,59.4,31.4,1,178,79,99,17
Ward_001__Malaria,Ward_001,Malaria,2024-06-03,6,49.17,65.3,24.6,3,178,84,94,17
Ward_001__Malaria,Ward_001,Malaria,2024-06-10,4,110.46,79.4,27.0,0,178,91,87,17
Ward_001__Malaria,Ward_001,Malaria,2024-06-17,11,89.28,84.6,27.4,8,178,100,78,17
Ward_001__Malaria,Ward_001,Malaria,2024-06-24,9,103.55,87.6,27.2,5,178,94,84,17
Ward_001__Malaria,Ward_001,Malaria,2024-07-01,6,64.03,70.7,21.9,3,178,90,88,17
Ward_001__Malaria,Ward_001,Malaria,2024-07-08,6,86.13,76.2,27.3,1,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2024-07-15,9,118.73,78.3,27.1,4,178,100,78,17
Ward_001__Malaria,Ward_001,Malaria,2024-07-22,20,81.63,69.4,25.6,9,178,94,84,17
Ward_001__Malaria,Ward_001,Malaria,2024-07-29,5,67.18,79.5,27.6,2,178,86,92,17
Ward_001__Malaria,Ward_001,Malaria,2024-08-05,5,102.12,86.1,23.8,3,178,85,93,17
Ward_001__Malaria,Ward_001,Malaria,2024-08-12,14,91.38,72.2,25.5,3,178,100,78,17
Ward_001__Malaria,Ward_001,Malaria,2024-08-19,5,87.05,73.7,29.3,1,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2024-08-26,11,46.6,70.3,26.5,3,178,90,88,17
Ward_001__Malaria,Ward_001,Malaria,2024-09-02,6,78.25,70.3,26.4,3,178,89,89,17
Ward_001__Malaria,Ward_001,Malaria,2024-09-09,4,87.5,76.0,25.5,1,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2024-09-16,22,118.76,82.9,26.8,5,178,110,68,17
Ward_001__Malaria,Ward_001,Malaria,2024-09-23,10,82.13,77.3,27.0,3,178,90,88,17
Ward_001__Malaria,Ward_001,Malaria,2024-09-30,5,118.12,95.3,29.9,2,178,84,94,17
Ward_001__Malaria,Ward_001,Malaria,2024-10-07,3,4.56,65.4,25.0,1,178,86,92,17
Ward_001__Malaria,Ward_001,Malaria,2024-10-14,5,7.8,59.1,28.7,2,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2024-10-21,7,0.0,51.4,26.7,4,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-10-28,4,2.67,56.4,30.4,1,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2024-11-04,6,0.0,60.9,23.9,2,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2024-11-11,2,12.54,61.9,26.5,0,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-11-18,5,8.6,63.9,27.3,1,178,77,101,17
Ward_001__Malaria,Ward_001,Malaria,2024-11-25,2,6.88,69.2,26.8,0,178,79,99,17
Ward_001__Malaria,Ward_001,Malaria,2024-12-02,1,0.0,56.5,18.9,0,178,79,99,17
Ward_001__Malaria,Ward_001,Malaria,2024-12-09,7,2.75,55.9,18.6,4,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2024-12-16,4,0.0,59.6,20.8,2,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-12-23,4,2.27,62.0,19.4,0,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2024-12-30,1,24.15,66.1,15.1,0,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2025-01-06,5,18.39,61.8,24.0,2,178,87,91,17
Ward_001__Malaria,Ward_001,Malaria,2025-01-13,3,7.52,53.2,21.3,3,178,80,98,17
Ward_001__Malaria,Ward_001,Malaria,2025-01-20,3,7.47,64.9,20.9,1,178,81,97,17
Ward_001__Malaria,Ward_001,Malaria,2025-01-27,2,9.49,63.7,18.5,3,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2025-02-03,5,21.05,63.9,24.6,0,178,87,91,17
Ward_001__Malaria,Ward_001,Malaria,2025-02-10,7,5.2,62.9,21.6,5,178,83,95,17
Ward_001__Malaria,Ward_001,Malaria,2025-02-17,1,10.93,61.4,18.9,2,178,82,96,17
Ward_001__Malaria,Ward_001,Malaria,2025-02-24,4,10.41,61.7,22.6,2,178,83,95,17
