unique_id,taluka,disease,date,confirmed_cases,true_cases,taluka_true_cases,taluka_confirmed_cases,population,vacancy_rate,lab_capacity,public_reporting_rate,private_reporting_rate,private_ari_reports,private_fever_reports,antimalarial_sales,rifampicin_sales,taluka_antimalarial_sales,taluka_rifampicin_sales,rainfall_mm,humidity,temperature,mobility_index,pharma_scale,total_beds,occupied_beds,available_beds
Taluka_001__Dengue,Taluka_001,Dengue,2023-01-23,1,5,29,11,171958,0.274,0.538,0.43,0.05,1,1,15,4,54,20,4.686180453564618,62.386329387936435,15.888772195083583,1.236,1.96,343,137,206
Taluka_001__Malaria,Taluka_001,Malaria,2023-01-23,1,1,29,11,171958,0.274,0.538,0.456,0.05,1,1,10,4,54,20,4.686180453564618,62.386329387936435,15.888772195083583,1.236,1.96,343,137,206
Taluka_001__Influenza,Taluka_001,Influenza,2023-01-23,9,22,29,11,171958,0.274,0.538,0.496,0.05,5,10,17,7,54,20,4.686180453564618,62.386329387936435,15.888772195083583,1.236,1.96,343,137,206
Taluka_001__Cholera,Taluka_001,Cholera,2023-01-23,0,1,29,11,171958,0.274,0.538,0.526,0.05,0,0,12,5,54,20,4.686180453564618,62.386329387936435,15.888772195083583,1.236,1.96,343,137,206
Taluka_001__Dengue,Taluka_001,Dengue,2023-01-30,3,4,28,8,171958,0.274,0.451,0.43,0.109,0,4,12,6,60,24,23.821981019474073,50.5147408053558,20.061101502097753,0.939,1.96,343,136,207
Taluka_001__Malaria,Taluka_001,Malaria,2023-01-30,0,1,28,8,171958,0.274,0.451,0.512,0.109,0,0,15,5,60,24,23.821981019474073,50.5147408053558,20.061101502097753,0.939,1.96,343,136,207
Taluka_001__Influenza,Taluka_001,Influenza,2023-01-30,5,21,28,8,171958,0.274,0.451,0.482,0.109,10,8,20,7,60,24,23.821981019474073,50.5147408053558,20.061101502097753,0.939,1.96,343,136,207
Taluka_001__Cholera,Taluka_001,Cholera,2023-01-30,0,2,28,8,171958,0.274,0.451,0.476,0.109,0,1,13,6,60,24,23.821981019474073,50.5147408053558,20.061101502097753,0.939,1.96,343,136,207
Taluka_001__Dengue,Taluka_001,Dengue,2023-02-06,5,13,37,11,171958,0.274,0.505,0.531,-0.019,3,4,19,6,76,18,17.496580162521425,54.340441867571286,23.241138399856222,1.201,1.96,343,142,201
Taluka_001__Malaria,Taluka_001,Malaria,2023-02-06,2,5,37,11,171958,0.274,0.505,0.447,-0.019,1,3,19,3,76,18,17.496580162521425,54.340441867571286,23.241138399856222,1.201,1.96,343,142,201
Taluka_001__Influenza,Taluka_001,Influenza,2023-02-06,4,17,37,11,171958,0.274,0.505,0.438,-0.019,9,7,23,4,76,18,17.496580162521425,54.340441867571286,23.241138399856222,1.201,1.96,343,142,201
Taluka_001__Cholera,Taluka_001,Cholera,2023-02-06,0,2,37,11,171958,0.274,0.505,0.411,-0.019,0,1,15,5,76,18,17.496580162521425,54.340441867571286,23.241138399856222,1.201,1.96,343,142,201
Taluka_001__Dengue,Taluka_001,Dengue,2023-02-13,0,5,24,3,171958,0.274,0.57,0.495,0.073,1,2,15,3,67,14,24.245835505161782,59.29312837986315,23.200656911221113,0.882,1.96,343,134,209
Taluka_001__Malaria,Taluka_001,Malaria,2023-02-13,1,5,24,3,171958,0.274,0.57,0.447,0.073,0,3,19,3,67,14,24.245835505161782,59.29312837986315,23.200656911221113,0.882,1.96,343,134,209
Taluka_001__Influenza,Taluka_001,Influenza,2023-02-13,1,11,24,3,171958,0.274,0.57,0.413,0.073,4,8,19,5,67,14,24.245835505161782,59.29312837986315,23.200656911221113,0.882,1.96,343,134,209
Taluka_001__Cholera,Taluka_001,Cholera,2023-02-13,1,3,24,3,171958,0.274,0.57,0.404,0.073,0,1,14,3,67,14,24.245835505161782,59.29312837986315,23.200656911221113,0.882,1.96,343,134,209
Taluka_001__Dengue,Taluka_001,Dengue,2023-02-20,2,7,23,7,171958,0.274,0.538,0.432,0.082,1,6,17,6,74,28,24.775842651580824,59.42675667821977,21.359582089278,1.021,1.96,343,133,210
Taluka_001__Malaria,Taluka_001,Malaria,2023-02-20,1,2,23,7,171958,0.274,0.538,0.384,0.082,1,0,17,7,74,28,24.775842651580824,59.42675667821977,21.359582089278,1.021,1.96,343,133,210
Taluka_001__Influenza,Taluka_001,Influenza,2023-02-20,4,14,23,7,171958,0.274,0.538,0.41,0.082,9,12,21,8,74,28,24.775842651580824,59.42675667821977,21.359582089278,1.021,1.96,343,133,210
Taluka_001__Cholera,Taluka_001,Cholera,2023-02-20,0,0,23,7,171958,0.274,0.538,0.531,0.082,0,0,19,7,74,28,24.775842651580824,59.42675667821977,21.359582089278,1.021,1.96,343,133,210
Taluka_001__Dengue,Taluka_001,Dengue,2023-02-27,2,8,37,11,171958,0.274,0.491,0.347,0.127,1,3,17,8,65,33,6.749802164881725,57.1463702059803,15.265591276878073,1.101,1.96,343,142,201
Taluka_001__Malaria,Taluka_001,Malaria,2023-02-27,2,6,37,11,171958,0.274,0.491,0.51,0.127,2,2,17,7,65,33,6.749802164881725,57.1463702059803,15.265591276878073,1.101,1.96,343,142,201
Taluka_001__Influenza,Taluka_001,Influenza,2023-02-27,6,22,37,11,171958,0.274,0.491,0.562,0.127,5,14,18,10,65,33,6.749802164881725,57.1463702059803,15.265591276878073,1.101,1.96,343,142,201
Taluka_001__Cholera,Taluka_001,Cholera,2023-02-27,1,1,37,11,171958,0.274,0.491,0.462,0.127,0,0,13,8,65,33,6.749802164881725,57.1463702059803,15.265591276878073,1.101,1.96,343,142,201
Taluka_001__Dengue,Taluka_001,Dengue,2023-03-06,1,4,13,4,171958,0.274,0.472,0.458,0.059,2,1,15,7,54,28,0.0,53.69632417554091,23.623742976759335,0.978,1.96,343,127,216
Taluka_001__Malaria,Taluka_001,Malaria,2023-03-06,0,3,13,4,171958,0.274,0.472,0.436,0.059,0,2,12,8,54,28,0.0,53.69632417554091,23.623742976759335,0.978,1.96,343,127,216
Taluka_001__Influenza,Taluka_001,Influenza,2023-03-06,2,5,13,4,171958,0.274,0.472,0.407,0.059,7,2,15,7,54,28,0.0,53.69632417554091,23.623742976759335,0.978,1.96,343,127,216
Taluka_001__Cholera,Taluka_001,Cholera,2023-03-06,1,1,13,4,171958,0.274,0.472,0.424,0.059,0,1,12,6,54,28,0.0,53.69632417554091,23.623742976759335,0.978,1.96,343,127,216
Taluka_001__Dengue,Taluka_001,Dengue,2023-03-13,2,8,19,6,171958,0.274,0.576,0.495,0.1,1,6,15,7,62,23,7.793523475184067,50.6865341772313,25.18969123529171,0.961,1.96,343,131,212
Taluka_001__Malaria,Taluka_001,Malaria,2023-03-13,1,4,19,6,171958,0.274,0.576,0.402,0.1,0,0,17,5,62,23,7.793523475184067,50.6865341772313,25.18969123529171,0.961,1.96,343,131,212
Taluka_001__Influenza,Taluka_001,Influenza,2023-03-13,2,6,19,6,171958,0.274,0.576,0.432,0.1,1,3,17,5,62,23,7.793523475184067,50.6865341772313,25.18969123529171,0.961,1.96,343,131,212
Taluka_001__Cholera,Taluka_001,Cholera,2023-03-13,1,1,19,6,171958,0.274,0.576,0.307,0.1,0,1,13,6,62,23,7.793523475184067,50.6865341772313,25.18969123529171,0.961,1.96,343,131,212
Taluka_001__Dengue,Taluka_001,Dengue,2023-03-20,3,8,18,5,171958,0.274,0.498,0.45,0.013,1,4,17,5,56,20,7.215895309625289,56.89477872818462,22.696905098523462,1.087,1.96,343,130,213
Taluka_001__Malaria,Taluka_001,Malaria,2023-03-20,0,2,18,5,171958,0.274,0.498,0.421,0.013,0,1,14,5,56,20,7.215895309625289,56.89477872818462,22.696905098523462,1.087,1.96,343,130,213
Taluka_001__Influenza,Taluka_001,Influenza,2023-03-20,2,6,18,5,171958,0.274,0.498,0.5,0.013,5,1,12,5,56,20,7.215895309625289,56.89477872818462,22.696905098523462,1.087,1.96,343,130,213
Taluka_001__Cholera,Taluka_001,Cholera,2023-03-20,0,2,18,5,171958,0.274,0.498,0.47,0.013,1,0,13,5,56,20,7.215895309625289,56.89477872818462,22.696905098523462,1.087,1.96,343,130,213
Taluka_001__Dengue,Taluka_001,Dengue,2023-03-27,0,3,16,1,171958,0.274,0.555,0.422,0.125,0,2,15,7,56,28,15.255066929794742,60.8651291058383,26.7993710265682,0.9,1.96,343,129,214
Taluka_001__Malaria,Taluka_001,Malaria,2023-03-27,0,4,16,1,171958,0.274,0.555,0.442,0.125,0,1,15,6,56,28,15.255066929794742,60.8651291058383,26.7993710265682,0.9,1.96,343,129,214
Taluka_001__Influenza,Taluka_001,Influenza,2023-03-27,1,8,16,1,171958,0.274,0.555,0.392,0.125,3,1,13,8,56,28,15.255066929794742,60.8651291058383,26.7993710265682,0.9,1.96,343,129,214
Taluka_001__Cholera,Taluka_001,Cholera,2023-03-27,0,1,16,1,171958,0.274,0.555,0.475,0.125,1,0,13,7,56,28,15.255066929794742,60.8651291058383,26.7993710265682,0.9,1.96,343,129,214
Taluka_001__Dengue,Taluka_001,Dengue,2023-04-03,2,5,11,3,171958,0.274,0.661,0.417,0.068,1,2,8,5,37,24,1.0182238275016111,57.03932670935796,27.49935662463917,1.074,1.96,343,126,217
Taluka_001__Malaria,Taluka_001,Malaria,2023-04-03,0,5,11,3,171958,0.274,0.661,0.377,0.068,1,3,11,7,37,24,1.0182238275016111,57.03932670935796,27.49935662463917,1.074,1.96,343,126,217
Taluka_001__Influenza,Taluka_001,Influenza,2023-04-03,0,0,11,3,171958,0.274,0.661,0.424,0.068,0,1,10,5,37,24,1.0182238275016111,57.03932670935796,27.49935662463917,1.074,1.96,343,126,217
Taluka_001__Cholera,Taluka_001,Cholera,2023-04-03,1,1,11,3,171958,0.274,0.661,0.441,0.068,0,1,8,7,37,24,1.0182238275016111,57.03932670935796,27.49935662463917,1.074,1.96,343,126,217
Taluka_001__Dengue,Taluka_001,Dengue,2023-04-10,1,8,13,1,171958,0.274,0.514,0.427,0.04,1,3,15,4,50,15,13.275307342953042,59.849279768623,30.304970141989102,1.01,1.96,343,127,216
Taluka_001__Malaria,Taluka_001,Malaria,2023-04-10,0,2,13,1,171958,0.274,0.514,0.443,0.04,0,1,11,4,50,15,13.275307342953042,59.849279768623,30.304970141989102,1.01,1.96,343,127,216
Taluka_001__Influenza,Taluka_001,Influenza,2023-04-10,0,1,13,1,171958,0.274,0.514,0.418,0.04,2,2,12,4,50,15,13.275307342953042,59.849279768623,30.304970141989102,1.01,1.96,343,127,216
Taluka_001__Cholera,Taluka_001,Cholera,2023-04-10,0,2,13,1,171958,0.274,0.514,0.491,0.04,2,1,12,3,50,15,13.275307342953042,59.849279768623,30.304970141989102,1.01,1.96,343,127,216
Taluka_001__Dengue,Taluka_001,Dengue,2023-04-17,1,8,20,4,171958,0.274,0.574,0.492,0.042,1,5,12,6,43,18,4.967424223444569,54.77814865761677,25.652508573673312,1.169,1.96,343,132,211
Taluka_001__Malaria,Taluka_001,Malaria,2023-04-17,0,3,20,4,171958,0.274,0.574,0.501,0.042,1,3,8,4,43,18,4.967424223444569,54.77814865761677,25.652508573673312,1.169,1.96,343,132,211
Taluka_001__Influenza,Taluka_001,Influenza,2023-04-17,2,6,20,4,171958,0.274,0.574,0.445,0.042,2,3,13,4,43,18,4.967424223444569,54.77814865761677,25.652508573673312,1.169,1.96,343,132,211
Taluka_001__Cholera,Taluka_001,Cholera,2023-04-17,1,3,20,4,171958,0.274,0.574,0.471,0.042,1,6,10,4,43,18,4.967424223444569,54.77814865761677,25.652508573673312,1.169,1.96,343,132,211
Taluka_001__Dengue,Taluka_001,Dengue,2023-04-24,0,3,16,3,171958,0.274,0.539,0.427,0.052,1,1,14,3,56,14,9.971179687275452,50.45457401494672,31.510194905301454,1.132,1.96,343,129,214
Taluka_001__Malaria,Taluka_001,Malaria,2023-04-24,1,5,16,3,171958,0.274,0.539,0.399,0.052,4,5,12,4,56,14,9.971179687275452,50.45457401494672,31.510194905301454,1.132,1.96,343,129,214
Taluka_001__Influenza,Taluka_001,Influenza,2023-04-24,2,7,16,3,171958,0.274,0.539,0.464,0.052,1,0,15,4,56,14,9.971179687275452,50.45457401494672,31.510194905301454,1.132,1.96,343,129,214
Taluka_001__Cholera,Taluka_001,Cholera,2023-04-24,0,1,16,3,171958,0.274,0.539,0.454,0.052,0,0,15,3,56,14,9.971179687275452,50.45457401494672,31.510194905301454,1.132,1.96,343,129,214
Taluka_001__Dengue,Taluka_001,Dengue,2023-05-01,3,6,17,4,171958,0.274,0.563,0.43,0.056,2,4,10,5,50,17,0.0,53.14914684723305,25.990131818036517,1.053,1.96,343,130,213
Taluka_001__Malaria,Taluka_001,Malaria,2023-05-01,1,5,17,4,171958,0.274,0.563,0.525,0.056,0,1,14,5,50,17,0.0,53.14914684723305,25.990131818036517,1.053,1.96,343,130,213
Taluka_001__Influenza,Taluka_001,Influenza,2023-05-01,0,5,17,4,171958,0.274,0.563,0.488,0.056,3,3,14,4,50,17,0.0,53.14914684723305,25.990131818036517,1.053,1.96,343,130,213
Taluka_001__Cholera,Taluka_001,Cholera,2023-05-01,0,1,17,4,171958,0.274,0.563,0.421,0.056,0,1,12,3,50,17,0.0,53.14914684723305,25.990131818036517,1.053,1.96,343,130,213
Taluka_001__Dengue,Taluka_001,Dengue,2023-05-08,0,2,8,1,171958,0.274,0.627,0.472,0.045,0,2,9,7,38,26,0.0,61.028457300407155,31.48406572609314,1.027,1.96,343,124,219
Taluka_001__Malaria,Taluka_001,Malaria,2023-05-08,1,1,8,1,171958,0.274,0.627,0.438,0.045,1,2,11,6,38,26,0.0,61.028457300407155,31.48406572609314,1.027,1.96,343,124,219
Taluka_001__Influenza,Taluka_001,Influenza,2023-05-08,0,3,8,1,171958,0.274,0.627,0.399,0.045,1,2,9,7,38,26,0.0,61.028457300407155,31.48406572609314,1.027,1.96,343,124,219
Taluka_001__Cholera,Taluka_001,Cholera,2023-05-08,0,2,8,1,171958,0.274,0.627,0.461,0.045,2,0,9,6,38,26,0.0,61.028457300407155,31.48406572609314,1.027,1.96,343,124,219
Taluka_001__Dengue,Taluka_001,Dengue,2023-05-15,3,14,27,4,171958,0.274,0.516,0.427,0.029,3,4,14,5,49,19,11.445163714203524,60.18934683124333,29.517554603148938,1.272,1.96,343,136,207
Taluka_001__Malaria,Taluka_001,Malaria,2023-05-15,1,8,27,4,171958,0.274,0.516,0.436,0.029,1,7,14,5,49,19,11.445163714203524,60.18934683124333,29.517554603148938,1.272,1.96,343,136,207
Taluka_001__Influenza,Taluka_001,Influenza,2023-05-15,0,5,27,4,171958,0.274,0.516,0.351,0.029,3,3,9,4,49,19,11.445163714203524,60.18934683124333,29.517554603148938,1.272,1.96,343,136,207
Taluka_001__Cholera,Taluka_001,Cholera,2023-05-15,0,0,27,4,171958,0.274,0.516,0.431,0.029,0,0,12,5,49,19,11.445163714203524,60.18934683124333,29.517554603148938,1.272,1.96,343,136,207
Taluka_001__Dengue,Taluka_001,Dengue,2023-05-22,3,7,12,4,171958,0.274,0.566,0.365,0.058,2,5,12,7,40,28,5.189058848390291,57.24754202676147,22.22101879940499,1.066,1.96,343,127,216
Taluka_001__Malaria,Taluka_001,Malaria,2023-05-22,1,2,12,4,171958,0.274,0.566,0.523,0.058,1,0,11,8,40,28,5.189058848390291,57.24754202676147,22.22101879940499,1.066,1.96,343,127,216
Taluka_001__Influenza,Taluka_001,Influenza,2023-05-22,0,3,12,4,171958,0.274,0.566,0.408,0.058,1,2,7,6,40,28,5.189058848390291,57.24754202676147,22.22101879940499,1.066,1.96,343,127,216
Taluka_001__Cholera,Taluka_001,Cholera,2023-05-22,0,0,12,4,171958,0.274,0.566,0.444,0.058,0,0,10,7,40,28,5.189058848390291,57.24754202676147,22.22101879940499,1.066,1.96,343,127,216
Taluka_001__Dengue,Taluka_001,Dengue,2023-05-29,3,7,19,8,171958,0.274,0.624,0.467,0.093,0,2,14,7,49,30,15.450369395363769,55.56397494214635,24.754094057891002,1.13,1.96,343,131,212
Taluka_001__Malaria,Taluka_001,Malaria,2023-05-29,3,5,19,8,171958,0.274,0.624,0.358,0.093,2,3,13,8,49,30,15.450369395363769,55.56397494214635,24.754094057891002,1.13,1.96,343,131,212
Taluka_001__Influenza,Taluka_001,Influenza,2023-05-29,2,6,19,8,171958,0.274,0.624,0.439,0.093,2,3,10,8,49,30,15.450369395363769,55.56397494214635,24.754094057891002,1.13,1.96,343,131,212
Taluka_001__Cholera,Taluka_001,Cholera,2023-05-29,0,1,19,8,171958,0.274,0.624,0.497,0.093,1,0,12,7,49,30,15.450369395363769,55.56397494214635,24.754094057891002,1.13,1.96,343,131,212
Taluka_001__Dengue,Taluka_001,Dengue,2023-06-05,2,10,23,5,171958,0.274,0.538,0.462,0.066,3,7,54,7,219,30,206.2297265282716,75.1214507127718,29.508971168986655,1.005,1.96,343,133,210
Taluka_001__Malaria,Taluka_001,Malaria,2023-06-05,0,1,23,5,171958,0.274,0.538,0.391,0.066,1,1,55,8,219,30,206.2297265282716,75.1214507127718,29.508971168986655,1.005,1.96,343,133,210
Taluka_001__Influenza,Taluka_001,Influenza,2023-06-05,0,3,23,5,171958,0.274,0.538,0.512,0.066,0,2,53,7,219,30,206.2297265282716,75.1214507127718,29.508971168986655,1.005,1.96,343,133,210
Taluka_001__Cholera,Taluka_001,Cholera,2023-06-05,3,9,23,5,171958,0.274,0.538,0.496,0.066,0,7,57,8,219,30,206.2297265282716,75.1214507127718,29.508971168986655,1.005,1.96,343,133,210
Taluka_001__Dengue,Taluka_001,Dengue,2023-06-12,3,10,17,6,171958,0.274,0.576,0.504,0.075,1,5,29,5,106,18,65.32485206338316,62.041779498459476,23.489660921821923,0.73,1.96,343,130,213
Taluka_001__Malaria,Taluka_001,Malaria,2023-06-12,1,2,17,6,171958,0.274,0.576,0.416,0.075,0,1,26,5,106,18,65.32485206338316,62.041779498459476,23.489660921821923,0.73,1.96,343,130,213
Taluka_001__Influenza,Taluka_001,Influenza,2023-06-12,2,3,17,6,171958,0.274,0.576,0.45,0.075,3,1,24,4,106,18,65.32485206338316,62.041779498459476,23.489660921821923,0.73,1.96,343,130,213
Taluka_001__Cholera,Taluka_001,Cholera,2023-06-12,0,2,17,6,171958,0.274,0.576,0.446,0.075,0,2,27,4,106,18,65.32485206338316,62.041779498459476,23.489660921821923,0.73,1.96,343,130,213
Taluka_001__Dengue,Taluka_001,Dengue,2023-06-19,4,18,45,10,171958,0.274,0.547,0.382,-0.014,2,7,36,7,134,26,95.82643713746754,66.59921766309238,30.279205759839634,1.086,1.96,343,147,196
Taluka_001__Malaria,Taluka_001,Malaria,2023-06-19,1,10,45,10,171958,0.274,0.547,0.347,-0.014,0,6,32,8,134,26,95.82643713746754,66.59921766309238,30.279205759839634,1.086,1.96,343,147,196
Taluka_001__Influenza,Taluka_001,Influenza,2023-06-19,3,15,45,10,171958,0.274,0.547,0.446,-0.014,8,7,35,6,134,26,95.82643713746754,66.59921766309238,30.279205759839634,1.086,1.96,343,147,196
Taluka_001__Cholera,Taluka_001,Cholera,2023-06-19,2,2,45,10,171958,0.274,0.547,0.461,-0.014,0,0,31,5,134,26,95.82643713746754,66.59921766309238,30.279205759839634,1.086,1.96,343,147,196
Taluka_001__Dengue,Taluka_001,Dengue,2023-06-26,4,10,21,7,171958,0.274,0.495,0.465,0.064,1,9,45,8,182,28,179.12507304693042,74.91215041741658,28.980031779351354,1.215,1.96,343,132,211
Taluka_001__Malaria,Taluka_001,Malaria,2023-06-26,2,7,21,7,171958,0.274,0.495,0.474,0.064,0,4,47,7,182,28,179.12507304693042,74.91215041741658,28.980031779351354,1.215,1.96,343,132,211
Taluka_001__Influenza,Taluka_001,Influenza,2023-06-26,0,0,21,7,171958,0.274,0.495,0.359,0.064,0,0,44,6,182,28,179.12507304693042,74.91215041741658,28.980031779351354,1.215,1.96,343,132,211
Taluka_001__Cholera,Taluka_001,Cholera,2023-06-26,1,4,21,7,171958,0.274,0.495,0.499,0.064,1,2,46,7,182,28,179.12507304693042,74.91215041741658,28.980031779351354,1.215,1.96,343,132,211
Taluka_001__Dengue,Taluka_001,Dengue,2023-07-03,8,23,31,10,171958,0.274,0.577,0.529,0.033,4,12,43,6,150,20,123.26252139937462,76.94060248374356,24.286455933031704,0.955,1.96,343,138,205
Taluka_001__Malaria,Taluka_001,Malaria,2023-07-03,1,1,31,10,171958,0.274,0.577,0.382,0.033,0,0,37,5,150,20,123.26252139937462,76.94060248374356,24.286455933031704,0.955,1.96,343,138,205
Taluka_001__Influenza,Taluka_001,Influenza,2023-07-03,1,4,31,10,171958,0.274,0.577,0.426,0.033,1,3,34,4,150,20,123.26252139937462,76.94060248374356,24.286455933031704,0.955,1.96,343,138,205
Taluka_001__Cholera,Taluka_001,Cholera,2023-07-03,0,3,31,10,171958,0.274,0.577,0.505,0.033,0,0,36,5,150,20,123.26252139937462,76.94060248374356,24.286455933031704,0.955,1.96,343,138,205
Taluka_001__Dengue,Taluka_001,Dengue,2023-07-10,6,17,27,8,171958,0.274,0.616,0.347,0.05,0,11,42,7,161,23,134.20089817686065,70.66954679566507,24.479155708028614,0.862,1.96,343,136,207
Taluka_001__Malaria,Taluka_001,Malaria,2023-07-10,2,6,27,8,171958,0.274,0.616,0.384,0.05,2,5,39,4,161,23,134.20089817686065,70.66954679566507,24.479155708028614,0.862,1.96,343,136,207
Taluka_001__Influenza,Taluka_001,Influenza,2023-07-10,0,2,27,8,171958,0.274,0.616,0.517,0.05,1,0,39,6,161,23,134.20089817686065,70.66954679566507,24.479155708028614,0.862,1.96,343,136,207
Taluka_001__Cholera,Taluka_001,Cholera,2023-07-10,0,2,27,8,171958,0.274,0.616,0.422,0.05,1,0,41,6,161,23,134.20089817686065,70.66954679566507,24.479155708028614,0.862,1.96,343,136,207
Taluka_001__Dengue,Taluka_001,Dengue,2023-07-17,5,13,35,13,171958,0.274,0.698,0.344,0.053,5,8,33,8,133,25,108.32754924337823,60.724989611938994,29.64932933144148,0.988,1.96,343,141,202
Taluka_001__Malaria,Taluka_001,Malaria,2023-07-17,5,8,35,13,171958,0.274,0.698,0.446,0.053,3,3,34,5,133,25,108.32754924337823,60.724989611938994,29.64932933144148,0.988,1.96,343,141,202
Taluka_001__Influenza,Taluka_001,Influenza,2023-07-17,1,5,35,13,171958,0.274,0.698,0.449,0.053,4,3,32,5,133,25,108.32754924337823,60.724989611938994,29.64932933144148,0.988,1.96,343,141,202
Taluka_001__Cholera,Taluka_001,Cholera,2023-07-17,2,9,35,13,171958,0.274,0.698,0.451,0.053,4,2,34,7,133,25,108.32754924337823,60.724989611938994,29.64932933144148,0.988,1.96,343,141,202
Taluka_001__Dengue,Taluka_001,Dengue,2023-07-24,4,9,20,6,171958,0.274,0.471,0.461,0.085,3,5,40,4,152,19,131.33151486184568,70.12191448921033,28.760081404425826,0.929,1.96,343,132,211
Taluka_001__Malaria,Taluka_001,Malaria,2023-07-24,2,4,20,6,171958,0.274,0.471,0.444,0.085,1,5,36,6,152,19,131.33151486184568,70.12191448921033,28.760081404425826,0.929,1.96,343,132,211
Taluka_001__Influenza,Taluka_001,Influenza,2023-07-24,0,4,20,6,171958,0.274,0.471,0.429,0.085,3,2,38,5,152,19,131.33151486184568,70.12191448921033,28.760081404425826,0.929,1.96,343,132,211
Taluka_001__Cholera,Taluka_001,Cholera,2023-07-24,0,3,20,6,171958,0.274,0.471,0.425,0.085,1,4,38,4,152,19,131.33151486184568,70.12191448921033,28.760081404425826,0.929,1.96,343,132,211
Taluka_001__Dengue,Taluka_001,Dengue,2023-07-31,6,13,25,8,171958,0.274,0.588,0.461,0.065,4,6,30,8,116,25,82.90587463237704,66.55507924272106,29.92559288934729,1.075,1.96,343,135,208
Taluka_001__Malaria,Taluka_001,Malaria,2023-07-31,1,6,25,8,171958,0.274,0.588,0.504,0.065,0,3,29,5,116,25,82.90587463237704,66.55507924272106,29.92559288934729,1.075,1.96,343,135,208
Taluka_001__Influenza,Taluka_001,Influenza,2023-07-31,1,6,25,8,171958,0.274,0.588,0.316,0.065,1,4,29,7,116,25,82.90587463237704,66.55507924272106,29.92559288934729,1.075,1.96,343,135,208
Taluka_001__Cholera,Taluka_001,Cholera,2023-07-31,0,0,25,8,171958,0.274,0.588,0.363,0.065,0,0,28,5,116,25,82.90587463237704,66.55507924272106,29.92559288934729,1.075,1.96,343,135,208
Taluka_001__Dengue,Taluka_001,Dengue,2023-08-07,2,17,39,7,171958,0.274,0.48,0.476,0.084,5,12,46,4,180,17,179.22272222167553,73.85608883802911,28.031534469372897,1.115,1.96,343,143,200
Taluka_001__Malaria,Taluka_001,Malaria,2023-08-07,4,18,39,7,171958,0.274,0.48,0.462,0.084,2,11,48,5,180,17,179.22272222167553,73.85608883802911,28.031534469372897,1.115,1.96,343,143,200
